HCPCS_CODE,Description,type,Q1_2018,Q2_2018,Q3_2018,Q4_2018,Q1_2019,Q2_2019,Q3_2019,Q4_2019,Q1_2020,Q2_2020,Q3_2020,Q4_2020,Q1_2021,Q2_2021,Q3_2021,Q4_2021,Q1_2022,Q2_2022,Q3_2022,Q4_2022,Q1_2023,Q2_2023,Q3_2023,Q4_2023,Q1_2024,Q2_2024,Q3_2024,Q4_2024,,Q1,Q2,Q3,Q4
M0150,,s,0,0,0,0,-1343.41,-352.13,-463.45,-495.15,0,0,0,0,9000645.07,20533672.86,19062157.419999998,26439010.9,27309363.36,10111652.6,0,0,0,0,0,0,0,0,0,0,,9000645.07,20533672.86,19062157.42,26439010.9
M0152,,s,0,0,0,0,-175.7,-431.2,-490.7,-477.75,0,0,0,0,4305809.1,9552195.56,8905659.94,12138214.32,12786608.84,4715030.55,0,0,0,0,0,0,0,0,0,0,,4305809.1,9552195.56,8905659.94,12138214.32
M0360,,s,-17098.87,-16110.54,-13813.51,-5561,-19791.66,-19865.16,-18624.58,-13555.29,0,0,0,29039.780000000002,3474230.86,4358815.94,3889226.08,3793722.29,4196071.24,1522519.52,0,0,0,0,0,0,0,0,0,0,,3474230.86,4358815.94,3889226.08,130.6343111
S8301,,s,0,0,0,0,0,0,297,0,0,15713.71,482175.21,1857910.1,2178327.89,2268727.22,2600122.35,2207261.41,2297297.45,2252227.27,2761806.56,2950052.28,2419765.66,1093208.54,6382.5,5848.9,5275,5318.25,5442.76,3908.25,,2178327.89,144.3696524,5.392473324,1.188033922
M0354,,s,-3947,-4383.2,-4173.8,-3975.6,-3934.8,-3956.2,-2766.2,0,0,0,0,22489.66,2165616.73,3002563.67,3461025.67,3465861.37,3883424.09,1483767.3,0,0,0,0,0,0,0,0,0,0,,2165616.73,3002563.67,3461025.67,154.1022527
J1599,,s,0,0,0,0,0,167530.17,580145.1,876599.74,0,21607.45,1336500.29,1164857.6400000001,1503172.87,1609296.93,1649736.02,1492016.52,1001621.15,666193.5,73562.81,0,0,0,0,0,0,0,0,0,,1503172.87,74.47535247,1.234369194,1.280856293
M0240,,s,-9192.77,-9847.6,-8216.59,-2660.8,-6475.19,-7158.33,-5546.81,-4282.81,0,6822.3,0,0,1003247.55,1519225.14,1239567.12,1623618.74,1561210.96,599047.28,0,0,0,0,0,0,0,0,0,0,,1003247.55,222.6525494,1239567.12,1623618.74
99340,,s,0,0,2381.08,1509.28,4924.16,0,40534.08,2857.95,0,11430,34432,1208412.48,668161.47,619572.51,579991.51,568835.02,633055.51,716453.3,1064804.36,1050586.77,614453.4,329686,250594,4930,0,9338.91,825.89,0,,668161.47,54.2010769,16.84405977,0.470728794
J7189,,s,0,0,0,0,0,0,560971.26,441199.65,0,0,628117.76,0,508674.71,1630442.65,1039557.65,1114660.48,1116923.6099999999,2018173.44,1279403.81,2131636.9699999997,835912.7,0,0,0,0,0,0,0,,508674.71,1630442.65,1.655033596,1114660.48
27130,,s,27234.760000000002,41919.25,33307.08,21550.65,25637.35,9540.24,34757.66,38989.3,0,10159.91,242032.85,307047.41,315830.68,140448.76,10458.11,479753.47,854779.93,458137.83,577208.45,591933.61,751692.35,1079276.92,846651.88,352587,926982.3400000001,924093.27,912327.79,12182.63,,315830.68,13.82245882,0.043209287,1.562468505
0118,,s,0,0,263831,183178,0,0,464332,0,0,0,163236,191334,224784,289008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,224784,289008,0,0
K0009,,s,79200.23,103484.67,209850.17,0,55608.82,0,161801.27000000002,326337.15,0,48957.17,63467.62,65797.53,195817.9,90427.11,166983.68,0,0,0,0,0,0,0,0,0,62197.35,0,0,0,,195817.9,1.847027983,2.630964404,0
S8301,,e,0,0,0,0,0,0,41,0,0,2457,29898,119465,153214,181838,252415,214728,219532,196781,205308,201328,167942,93350,18739,13698,5245,2542,2661,1629,,153214,73.97803092,8.442255594,1.797398423
B5200,,s,0,0,0,0,0,0,311.9,0,0,0,20862.989999999998,121616.77,152335.81,149583.25,160031.41,151359.95,116989.73999999999,155785.2,51375.03,0,113746.37,119946.25,78627.65,58864.270000000004,0,0,0,0,,152335.81,149583.25,7.670220797,1.244554558
E0329,,s,166750.64,0,0,247875.06,86163.8,0,73150.31,0,0,0,0,73732.37,150463.95,81472.21,99834.95,0,0,0,0,0,0,156014.03999999998,111625.48,0,0,93065.97,0,0,,150463.95,81472.21,99834.95,0
