Sum of total_unique_beneficiaries,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,85379,85610,85730,92941,92950,92960,93000,93005,93224,93225,93226,93227,93750,95812,95813,95816,95819,99291,99292,A0425,A0425:TM,A0427,A0427ET,A0429,A0429ET,A0433,A0434,G0378,G0383,G0384,J1557,S5125,S5126,T1020,Grand Total
2018-01,36407,315710,160495,12,43,,168381,437436,2717,2208,3841,1985,150,1425,1046,6574,6628,53933,1516,721212,,323643,,270575,,2004,10610,82178,2242,259,,140742,17708,69462,2841142
2018-02,33434,288204,144819,,26,,156292,394985,2616,2218,4037,1909,149,1376,1206,6611,6071,41370,1160,647468,23,286234,,240060,,1559,10228,76384,1760,268,,138677,17711,69377,2576232
2018-03,38899,319012,162863,,53,,174089,437265,3236,2458,4527,2284,214,1797,1396,7725,6793,48468,1431,681288,24,303907,,249581,,1851,10427,83868,2017,257,,138921,17813,70045,2772509
2018-04,37679,312512,159975,,15,,174381,423509,3378,2544,4421,2347,68,1538,1397,7779,6720,44023,1085,660954,,294567,,241129,,1644,10294,81545,1879,253,,142770,17638,54378,2690422
2018-05,40196,325498,168479,,35,12,184017,440869,3510,2767,4517,2370,121,1591,1363,7970,7048,46711,1181,693298,,311329,,257141,,1554,9724,87778,1892,248,,140081,17830,53296,2812426
2018-06,36142,305330,158203,,40,,157582,410884,2941,2083,3895,1923,161,1388,1047,6612,6147,43026,1160,662990,,298698,,244205,,1602,6407,82555,1604,187,,136928,17920,53677,2645337
2018-07,37643,309589,160631,,48,,157525,427048,2734,2169,3776,1875,203,1509,1121,6516,6129,46947,1341,686952,,313511,,257349,,1587,4853,83004,1723,237,,132287,17904,53864,2720075
2018-08,38106,316724,164968,,47,,180003,441257,3616,2599,4575,2592,151,1861,1521,7331,7129,46456,1218,691738,,311447,,257828,,1580,5168,85469,1788,207,,133601,18063,53745,2780788
2018-09,35742,287186,149520,,42,,147583,415442,2469,2018,3558,1724,125,1422,915,5953,5355,44180,1001,661954,,299846,,248292,,1549,8369,81448,1664,199,,142207,17926,53985,2621674
2018-10,37107,304862,160586,,35,13,186996,422090,4013,2586,4142,2290,172,2005,1195,8316,6699,47784,1034,677807,,300271,,254793,,1624,10126,83114,1750,164,14,145645,18051,50690,2735974
2018-11,33518,282121,143847,,27,,145738,380258,2600,1948,3444,1692,147,1489,917,6083,5261,46546,937,641860,,283116,,239864,,1782,10486,76873,1692,178,12,145139,18168,54811,2530554
2018-12,36639,279916,147052,,49,,126163,391091,2090,1740,3142,1454,126,1209,821,5450,4922,53717,1127,666000,,297580,,252947,,1873,10527,81342,1661,208,14,144030,22726,55787,2591403
2019-01,42517,326636,176066,,33,,188617,451077,3253,2681,4321,2239,232,1715,1279,7974,7218,62401,1485,714743,,313918,,266808,,1911,10643,91661,1903,129,13,146201,22006,57141,2906821
2019-02,39862,305127,164304,,26,,167609,418273,2649,2538,4425,2043,204,1798,1098,7591,6539,52579,1188,665586,,296789,,245124,,1750,9978,85423,1570,141,,143271,21975,57111,2706571
2019-03,46393,335358,183948,,91,,184732,474535,3457,2728,4722,2399,215,1871,1453,8469,7904,63880,1437,725386,,328096,,267525,,1932,10921,97728,1967,137,,145098,22030,57825,2982237
2019-04,43687,324626,178986,,44,,193833,452883,3902,2751,4820,2594,151,1972,1224,8843,8499,56261,1367,709858,,315772,,258107,,1868,10478,94307,1734,135,,143489,22149,57796,2902136
2019-05,45594,332925,184635,,54,,194372,468787,3642,2980,4943,2568,180,2025,1314,8370,8114,58401,1573,737428,,329427,,273317,,2075,10752,97800,1810,173,,142758,22377,58298,2996692
2019-06,42271,318126,176614,,36,,169013,439211,2970,2203,4044,2080,219,1796,1191,7103,6859,55160,1472,698168,,315355,,266006,,1800,7027,92664,1345,234,,138915,22465,57790,2832137
2019-07,43927,331483,185742,,35,,183766,463881,3112,2469,4601,2004,175,2038,1195,7764,7479,55000,1458,730795,,328970,,296589,,1907,5324,94735,1299,248,,133886,22487,58109,2970478
2019-08,44386,332574,187243,,45,,190729,469282,3662,2639,4656,2183,249,2134,1266,7783,7836,54062,1518,737370,,329138,,304204,,1974,5347,97771,1223,153,,138644,22634,60574,3011279
2019-09,45047,324634,184308,,12,,181515,474768,3169,2581,4338,2199,257,1815,1228,7428,6854,56457,1416,737866,,323469,,301462,,1943,8843,95250,1216,174,,151902,25536,63739,3009426
2019-10,46877,346817,200448,,34,14,213202,493249,4065,3336,5142,2600,254,2476,1521,9367,8652,58812,1624,756420,,323325,,307070,,2099,9983,100934,1400,170,,153457,22032,65824,3141204
2019-11,41925,307784,175606,,52,,162759,443140,2742,2388,4169,1780,165,2014,1120,7504,6395,56559,1539,719274,,307853,,290480,,1977,10016,91604,1365,221,,152489,22159,65763,2880842
2019-12,42312,306135,173552,,32,12,145827,458439,2320,2117,3956,1843,160,1968,1178,6808,6075,66714,1851,751943,,324720,,311295,,2334,10451,95584,1471,181,,153307,22129,65997,2960711
2020-01,48200,349283,199234,,59,,211382,522880,3169,2654,4894,2291,193,2516,1157,9115,7872,71632,2033,790811,,338024,,327395,,2311,10772,101677,1637,264,,156529,22226,65967,3256177
2020-02,43322,323863,185016,,26,16,187169,476249,3114,2883,5119,2302,212,2217,1235,7625,7006,63343,1871,739502,,313818,,300378,,1881,10374,91865,1507,251,,157102,22103,65744,3017113
2020-03,38249,270710,149896,,32,,119944,394875,2249,1831,3774,1707,169,1645,739,4902,4722,58213,1593,681582,,290804,,282667,,1933,7186,72207,967,190,,156896,22180,65436,2637298
2020-04,37163,189499,97440,,54,,41341,254962,1090,642,1807,550,14,587,256,2273,1871,62662,1805,525711,,230863,,212945,,1580,3600,40595,522,93,,136387,21740,63949,1932001
2020-05,49882,257240,144142,,28,,77932,339279,1675,1403,2959,1001,27,1275,574,3773,3582,71228,1859,608493,,276263,,236645,,1976,4247,57589,751,134,,140149,22107,62490,2368703
2020-06,52819,309075,177710,,28,12,153549,411306,2751,2589,4527,2017,78,2023,1100,6852,6346,68661,1997,656886,,301331,,252475,,2086,4635,71493,908,148,,142292,22434,62622,2720750
2020-07,59241,318782,186782,,78,,173499,446694,2617,2571,4670,2279,133,2008,1177,7620,6244,77412,2095,705598,,326403,,273114,,2414,4925,74591,1051,192,,200621,22538,63332,2968681
2020-08,55645,321153,189185,,62,,173933,450103,2977,2448,4549,2295,115,1849,1074,6968,6513,72620,2035,702916,,321969,,272743,,2279,5182,78332,1103,184,,188454,22760,63915,2953361
2020-09,52109,328406,192469,,62,,192137,448546,3277,2826,4928,2144,154,1972,1179,7282,6517,65018,1671,683230,,305758,,262215,,2181,6801,79522,1136,173,,186523,22815,64291,2925342
2020-10,56070,341017,198765,,77,,198237,470390,3814,3199,5279,2462,178,2135,1379,8472,7160,71162,1952,714643,,320749,,276149,,2370,7889,83482,1185,299,,229632,23017,64150,3095313
2020-11,62979,321467,185732,,61,,164253,459623,2866,3136,5236,2565,143,1952,1249,7287,6005,73742,1905,701239,,319252,,275393,,2446,7903,77237,1562,377,,287347,23099,57236,3053292
2020-12,72943,321848,183901,,81,15,150835,460601,2989,3111,5201,2602,128,2319,1078,7389,6079,86369,2386,725846,,330281,,285109,,2871,7030,73744,1527,446,,289001,23129,58366,3107225
2021-01,77669,336148,193331,,169,,181139,490678,2936,3267,5199,2503,228,2027,1208,8003,6349,88297,2415,722907,,329859,,281970,,3063,7645,75205,1676,693,,286949,23483,58580,3193596
2021-02,64391,325770,188893,,43,,172866,453517,3033,3077,4836,2665,83,2131,1285,7544,6266,62156,1560,678163,,301750,,266261,,2582,7900,74285,1381,652,,284185,22540,64042,3003857
2021-03,72269,395980,233102,,47,,253537,560429,4572,4678,6946,3933,223,3221,1987,11476,9445,75699,1933,749748,,341398,,293339,,3214,9362,94602,1585,728,,288153,23655,64215,3509476
2021-04,77504,393777,233686,,90,12,225192,571343,4006,3829,6102,3050,175,3102,1801,10612,8932,76373,1984,752961,,347061,,294561,,3174,9403,94973,1653,715,,290875,23673,63183,3503802
